Chicken NCBI gene ID	Chicken gene name	GEISHA ID	Ensembl ID	GO ids	stages	locations
373887	FZD4	Frz-4.Fuhrmann.2003	ENSGALG00000017242	GO:0060070,GO:0007420,GO:0017147,GO:0009986,GO:0045893,GO:0007223,GO:0046982,GO:0042803,GO:0061301,GO:0061304,GO:0042701,GO:0034446,GO:0010812,GO:0030165,GO:0030947,GO:0005911,GO:0005737,GO:0016021,GO:0042995,GO:0042813,GO:0043507,GO:0001570,GO:0051091,GO:0009790,GO:0035426,GO:0005886,GO:0004930,GO:0019955,GO:0007605,GO:0031625,GO:0031987	10,23,29	"Retina","Eye","Diencephalon"
373887	FZD4	Fz4.Chapman.2008	ENSGALG00000017242	GO:0060070,GO:0007420,GO:0017147,GO:0009986,GO:0045893,GO:0007223,GO:0046982,GO:0042803,GO:0061301,GO:0061304,GO:0042701,GO:0034446,GO:0010812,GO:0030165,GO:0030947,GO:0005911,GO:0005737,GO:0016021,GO:0042995,GO:0042813,GO:0043507,GO:0001570,GO:0051091,GO:0009790,GO:0035426,GO:0005886,GO:0004930,GO:0019955,GO:0007605,GO:0031625,GO:0031987	4,5,6,7,10,11	"Hensen's Node","Blood Islands","Forebrain","Area Pellucida","Neural Plate/Tube","Head Mesenchyme","Anterior Intestinal Portal","Ear/Otic Placode","Primitive Streak","Diencephalon"
373887	FZD4	Fz4.McBride.2003	ENSGALG00000017242	GO:0060070,GO:0007420,GO:0017147,GO:0009986,GO:0045893,GO:0007223,GO:0046982,GO:0042803,GO:0061301,GO:0061304,GO:0042701,GO:0034446,GO:0010812,GO:0030165,GO:0030947,GO:0005911,GO:0005737,GO:0016021,GO:0042995,GO:0042813,GO:0043507,GO:0001570,GO:0051091,GO:0009790,GO:0035426,GO:0005886,GO:0004930,GO:0019955,GO:0007605,GO:0031625,GO:0031987	26,34	"Midgut"
373887	FZD4	FZ4.Quinlan.2009	ENSGALG00000017242	GO:0060070,GO:0007420,GO:0017147,GO:0009986,GO:0045893,GO:0007223,GO:0046982,GO:0042803,GO:0061301,GO:0061304,GO:0042701,GO:0034446,GO:0010812,GO:0030165,GO:0030947,GO:0005911,GO:0005737,GO:0016021,GO:0042995,GO:0042813,GO:0043507,GO:0001570,GO:0051091,GO:0009790,GO:0035426,GO:0005886,GO:0004930,GO:0019955,GO:0007605,GO:0031625,GO:0031987	16,19	"Forebrain"
373887	FZD4	Fz4.Theodosiou.2003	ENSGALG00000017242	GO:0060070,GO:0007420,GO:0017147,GO:0009986,GO:0045893,GO:0007223,GO:0046982,GO:0042803,GO:0061301,GO:0061304,GO:0042701,GO:0034446,GO:0010812,GO:0030165,GO:0030947,GO:0005911,GO:0005737,GO:0016021,GO:0042995,GO:0042813,GO:0043507,GO:0001570,GO:0051091,GO:0009790,GO:0035426,GO:0005886,GO:0004930,GO:0019955,GO:0007605,GO:0031625,GO:0031987	22,24,32	"Midgut","Hindgut","Gut","Foregut"
373887	FZD4	FZD4.Geetha-Loganathan.2009	ENSGALG00000017242	GO:0060070,GO:0007420,GO:0017147,GO:0009986,GO:0045893,GO:0007223,GO:0046982,GO:0042803,GO:0061301,GO:0061304,GO:0042701,GO:0034446,GO:0010812,GO:0030165,GO:0030947,GO:0005911,GO:0005737,GO:0016021,GO:0042995,GO:0042813,GO:0043507,GO:0001570,GO:0051091,GO:0009790,GO:0035426,GO:0005886,GO:0004930,GO:0019955,GO:0007605,GO:0031625,GO:0031987	24	"Face Mesenchyme","Pharyngeal Arches and Clefts"
373887	FZD4	FZD4.Paxton.2010	ENSGALG00000017242	GO:0060070,GO:0007420,GO:0017147,GO:0009986,GO:0045893,GO:0007223,GO:0046982,GO:0042803,GO:0061301,GO:0061304,GO:0042701,GO:0034446,GO:0010812,GO:0030165,GO:0030947,GO:0005911,GO:0005737,GO:0016021,GO:0042995,GO:0042813,GO:0043507,GO:0001570,GO:0051091,GO:0009790,GO:0035426,GO:0005886,GO:0004930,GO:0019955,GO:0007605,GO:0031625,GO:0031987	4,7,8,9	"Heart","Heart Tube","Head Mesenchyme","Unlabeled","Eye","Anterior/Second Heart Field","Ear/Otic Placode","Splanchnic Mesoderm"
373887	FZD4	FZD4.Sienknecht.2009	ENSGALG00000017242	GO:0060070,GO:0007420,GO:0017147,GO:0009986,GO:0045893,GO:0007223,GO:0046982,GO:0042803,GO:0061301,GO:0061304,GO:0042701,GO:0034446,GO:0010812,GO:0030165,GO:0030947,GO:0005911,GO:0005737,GO:0016021,GO:0042995,GO:0042813,GO:0043507,GO:0001570,GO:0051091,GO:0009790,GO:0035426,GO:0005886,GO:0004930,GO:0019955,GO:0007605,GO:0031625,GO:0031987	20,21	"Ear/Otic Placode"
373887	FZD4	FZD4.Trimarchi.2009	ENSGALG00000017242	GO:0060070,GO:0007420,GO:0017147,GO:0009986,GO:0045893,GO:0007223,GO:0046982,GO:0042803,GO:0061301,GO:0061304,GO:0042701,GO:0034446,GO:0010812,GO:0030165,GO:0030947,GO:0005911,GO:0005737,GO:0016021,GO:0042995,GO:0042813,GO:0043507,GO:0001570,GO:0051091,GO:0009790,GO:0035426,GO:0005886,GO:0004930,GO:0019955,GO:0007605,GO:0031625,GO:0031987	23,29,34,36	"Retina","Eye"
373887	FZD4	FZD4.UApcr	ENSGALG00000017242	GO:0060070,GO:0007420,GO:0017147,GO:0009986,GO:0045893,GO:0007223,GO:0046982,GO:0042803,GO:0061301,GO:0061304,GO:0042701,GO:0034446,GO:0010812,GO:0030165,GO:0030947,GO:0005911,GO:0005737,GO:0016021,GO:0042995,GO:0042813,GO:0043507,GO:0001570,GO:0051091,GO:0009790,GO:0035426,GO:0005886,GO:0004930,GO:0019955,GO:0007605,GO:0031625,GO:0031987	6,7,8,9,10,11,16,17,22,23,24,25	"Blood Vessels","Lateral Plate Mesoderm","Midgut","Lung","Forebrain","Midbrain","Somites","Neural Plate/Tube","Unlabeled","Wing Mesenchyme","Eye","Anterior/Second Heart Field","Ear/Otic Placode","Leg AER","Spinal Ganglia and Nerves","Pharyngeal Arches and Clefts","Nephric Ducts","Intermediate Mesoderm","Wing AER","Paraxial Mesoderm","Endoderm","Leg Mesenchyme"
373893	RAX2	RAX.UApcr	ENSGALG00000013431	GO:0006351,GO:0005634,GO:0007275,GO:0043565,GO:0003700	4,6,7,8,9,18,20,24,25,26	"Headfold","Lateral Plate Mesoderm","Forebrain","Midbrain","Neural Plate/Tube","Eye","Hindbrain"
373894	SDK1	SDK1.Yamagata.2012		GO:0016021,GO:0007155,GO:0045202,GO:0030054,GO:0005886	40	"Retina"
373895	TBX22	ChEST87l4	ENSGALG00000004093		7,13,16,17,18,20	"Midbrain","Somites","Head Mesenchyme","Hindbrain","Pharyngeal Arches and Clefts","Paraxial Mesoderm"
373895	TBX22	TBX22.Fuchs.2010	ENSGALG00000004093		18,19,23,26,27	"Face Mesenchyme","Eye","Nasal Placode/Nerve"
373895	TBX22	TBX22.Paxton.2010	ENSGALG00000004093		5,7,8,11,14,16	"Mesoderm","Somites","Neural Plate/Tube","Head Mesenchyme","Early Mesoderm","Unlabeled","Ear/Otic Placode"
373895	TBX22	TBX22.SzaboRogers.2009	ENSGALG00000004093		15	"Eye","Ear/Otic Placode","Pharyngeal Arches and Clefts","Nasal Placode/Nerve"
373899	PDIA3	PDIA3.Roy.2013	ENSGALG00000008348	GO:0009986,GO:0045454,GO:0003756,GO:2001238,GO:0006662,GO:0015035,GO:0005788	26,28	"Wing","Liver","Somites"
373901	LMO4	LMO4.Abellan.2009			35,40,42,44	"Telencephalon"
373901	LMO4	LMO4.Ferronha.2013			10,14	"Neural Plate/Tube","Neural Crest","Central Nervous System","Primitive Streak"
373901	LMO4	pgf2n.pk006.p16			2,3,6,7,8,12,13,15,16,17,18,19,20,21,22	"Heart","Blood Vessels","Ear/Otic Placcode","Face Mesenchyme","Hensen's Node","Forebrain","Valves","Outflow Tract","Head Mesenchyme","Neural Plate/Tube","Placcode","Unlabeled","Spinal Ganglia and Nerves","Cranial Nerve","Cranial PNS","Allantois","Pharyngeal Arches and Clefts","Primitive Streak","Splanchnic Mesoderm","Notochord","Foregut","Paraxial Mesoderm"
373905	BASP1	BASP1.UApcr	ENSGALG00000012952	GO:0045892,GO:0072112,GO:0031234,GO:0019904,GO:0005634,GO:0030863,GO:0005737,GO:0030426,GO:0003714,GO:0044212,GO:0008180,GO:0016607	4,5,8,9,10,12,17,18,21,25,26	"Heart","Ectoderm","Lateral Plate Mesoderm","Head Process","Lung","Liver","Forebrain","Somites","Head Mesenchyme","Sclerotome","Widespread Expression","Eye","Extraembryonic Blood Vessels","Ear/Otic Placode","Extraembryonic Mesoderm","Allantois","Pharyngeal Arches and Clefts","Primitive Streak","Dermomyotome","Notochord","Ventricles","Atria","Endoderm","Leg Mesenchyme","Hindgut","Midbrain","Somatic Mesoderm","Neural Plate/Tube","extraembryonic endoderm","Early Mesoderm","Wing Mesenchyme","Area Opaca","extraembryonic mesoderm","Spinal Cord","Spinal Ganglia and Nerves","Mesonephros","Amnion","Hindbrain","Myotome","Splanchnic Mesoderm","extraembryonic ectoderm","Foregut","Yolk Sack or Stalk"
373907	AHR	AHR.UApcr			5,7,8,9,12,18,20,21,25	"Cranial Ganglia","Lung","Retina","Somites","Head Mesenchyme","Allantois","Leg Ectoderm","Wing Ectoderm","Spinal Ganglia and Nerves"
373910	NHLH1	NHLH1.Ratie.2013			15	"Hypothalamus","Midbrain"
373910	NHLH1	NHLH1.Ratie.2014			10,12,14,15,16,17,18,22	"Mesencephalon","Peripheral Nervous System","Ear/Otic Placode","Cranial Nerve","Spinal Cord","Spinal Ganglia and Nerves","Rhombomeres","Cranial PNS","Sensory Organs","Nasal Placode/Nerve"
373910	NHLH1	NHLH1.UApcr			3,4,5,8,9,12,14,17,22,24,25	"Lateral Plate Mesoderm","Forebrain","Neural Crest","Unlabeled","Eye","Oral Pharynx","Endoderm","Midbrain","Neural Plate/Tube","Spinal Cord","Spinal Ganglia and Nerves","Hindbrain","Foregut","Nasal Placode/Nerve"
373910	NHLH1	NHLH1.Ware.2014			11	"Hypothalamus"
373911	PTPRO	CRYP2.Chilton.2000	ENSGALG00000013085		23,28,34,36,44	"Spinal Cord"
373912	NOG	Nog.Chapman.2008	ENSGALG00000003114	GO:0045596,GO:0005576,GO:0030154,GO:0051216	4,5,6,7,8,9,10	"Head Process","Notochord","Hindbrain"
373912	NOG	Noggin	ENSGALG00000003114	GO:0045596,GO:0005576,GO:0030154,GO:0051216	5,7,17	"Head Process","Somites","Head Mesenchyme","Notochord","Face Mesenchyme","Midbrain","Diencephalon","Paraxial Mesoderm"
373912	NOG	noggin.Belecky-Adams.2001	ENSGALG00000003114	GO:0045596,GO:0005576,GO:0030154,GO:0051216	18,44	"Retina"
373912	NOG	NOGGIN.Bothe.2011	ENSGALG00000003114	GO:0045596,GO:0005576,GO:0030154,GO:0051216	5,6,9,13	"Head Process","Hensen's Node","Mesoderm","Forebrain","Somites","Neural Crest","Ear/Otic Placode","Pharyngeal Arches and Clefts","Notochord","Midbrain"
373912	NOG	Noggin.Chapman.2002	ENSGALG00000003114	GO:0045596,GO:0005576,GO:0030154,GO:0051216	4,5	"Notochord","Endoderm"
373912	NOG	Noggin.Huillard.2004	ENSGALG00000003114	GO:0045596,GO:0005576,GO:0030154,GO:0051216	36	"Telencephalon"
373912	NOG	Noggin.Nimmagadda.2005	ENSGALG00000003114	GO:0045596,GO:0005576,GO:0030154,GO:0051216	18,23	"Somites","Dermomyotome","Notochord","Neural Plate/Tube"
373912	NOG	NOGGIN.Parkinson.2010	ENSGALG00000003114	GO:0045596,GO:0005576,GO:0030154,GO:0051216	40	"Pituitary (Rudiment)"
373912	NOG	NOGGIN.Patwardhan.2004	ENSGALG00000003114	GO:0045596,GO:0005576,GO:0030154,GO:0051216	4	"Hensen's Node","Primitive Streak"
373912	NOG	noggin.Sela-Donenfeld.2002	ENSGALG00000003114	GO:0045596,GO:0005576,GO:0030154,GO:0051216	13,44	"Somites","Sclerotome","Dermomyotome","Intermediate Mesoderm","Notochord","Neural Plate/Tube"
373912	NOG	Noggin.Streit.1999	ENSGALG00000003114	GO:0045596,GO:0005576,GO:0030154,GO:0051216	4,5,8	"Primitive Streak"
373912	NOG	NOGGIN.Tzahor.2003	ENSGALG00000003114	GO:0045596,GO:0005576,GO:0030154,GO:0051216	11,16	"Neural Crest","Pharyngeal Arches and Clefts"
373912	NOG	NOG.Ohta.2007	ENSGALG00000003114	GO:0045596,GO:0005576,GO:0030154,GO:0051216	10,17,18,24,36	"Hensen's Node","Tail","Notochord","Neural Plate/Tube"
373917	LGALS3	LGALS3.UApcr			4,5,8,10,11,17,20,21,27	"Lateral Plate Mesoderm","Blood Islands","Head Mesenchyme","Anterior Intestinal Portal","Sclerotome","Unlabeled","Extraembryonic Mesoderm","Allantois","Pharyngeal Arches and Clefts","Primitive Streak","Notochord","Hindgut","Pharynx","Mesonephros","Hindbrain"
373919	RUNX2	RUNX2.UApcr			4,5,8,10,11,12,14,22,23,24,26	"Facial Muscles","Head Mesenchyme","Anterior Intestinal Portal","Sclerotome","Unlabeled","Pharyngeal Arches and Clefts","Aorta","Notochord","Leg Mesenchyme","Somatic Mesoderm","Pharynx","Wing Mesenchyme","Splanchnic Mesoderm","Foregut"
373920	MID1	cMid1.Granata.2003	ENSGALG00000016603		4,5,7,8	"Hensen's Node","Epiblast","Area Pellucida","Neural Plate/Tube","Early Mesoderm","Germinal Crescent"
373920	MID1	MID1.Granata.2005	ENSGALG00000016603		2,3,4,8	"Lateral Plate Mesoderm","Hensen's Node","Somites","Early Embryo","Neural Plate/Tube","Germinal Crescent"
373920	MID1	MID1.Olivera-Martinez.2014	ENSGALG00000016603		all,10	"Lateral Plate Mesoderm","Neural Plate/Tube","Paraxial Mesoderm"
373920	MID1	Mid1.Richman.2002	ENSGALG00000016603		10,15,20,21,24,28,44	"Heart","Midgut","Mesoderm","Somites","Head Mesenchyme","Oral Pharynx","Allantois","Pharyngeal Arches and Clefts","Ventricles","Wing Muscles","Limb Buds","Face Mesenchyme","Leg Muscles","Gut","Midbrain","Hindbrain","Myotome","Diencephalon"
373920	MID1	MID2.Granata.2005	ENSGALG00000016603		4,5,7,8	"Hensen's Node","Extraembryonic","Primitive Streak","Neural Plate/Tube"
373923	CELF1	CELF1.UApcr	ENSGALG00000008097	GO:0006397,GO:0005634,GO:0005737,GO:0008380,GO:0000166,GO:0003723	6,8,9,11,16,18,21,26	"Lung","Liver","Forebrain","Outflow Tract","Head Mesenchyme","Anterior Intestinal Portal","Sclerotome","Widespread Expression","Unlabeled","Eye","Aorta","Pharyngeal Arches and Clefts","Ventricles","Leg Mesenchyme","Midbrain","Somatic Mesoderm","Neural Plate/Tube","Wing Mesenchyme","Spinal Ganglia and Nerves","Mesonephros","Hindbrain","Foregut"
373923	CELF1	CUG-BP1.Brimacombe.2007	ENSGALG00000008097	GO:0006397,GO:0005634,GO:0005737,GO:0008380,GO:0000166,GO:0003723	10,18,23	"Dermatome","Heart","Liver","Forebrain","Somites","Sclerotome","Ubiquitous Embryonic","Pharyngeal Arches and Clefts","Limb Buds","Midbrain","Neural Plate/Tube","Spinal Cord","Myocardium","Hindbrain","Myotome","Lens"
373924	CACNG4	CACNG4			6,8,10,12,17,19,23,25	"Heart","Liver","Lung","Forebrain","Outflow Tract","Head Mesenchyme","Sclerotome","Eye","Pharyngeal Arches and Clefts","Intermediate Mesoderm","Notochord","Ventricles","Endoderm","Midbrain","Somatic Mesoderm","extraembryonic endoderm","Neural Plate/Tube","extraembryonic mesoderm","Sinus Venosus","Spinal Cord","Mesonephros","Hindbrain","Myotome","extraembryonic ectoderm","Foregut"
373924	CACNG4	CACNG4.Kious.2002			8,18,21,23,26	"Somites","Cranial Ganglion","Leg Mesenchyme","Limb Buds","Leg Muscles","Midbrain","Neural Plate/Tube","Leg","Spinal Cord","Spinal Ganglia and Nerves","Hindbrain","Myotome","Diencephalon"
373925	ARNTL2	ARNTL2.UApcr	ENSGALG00000014096	GO:0006351,GO:0046983,GO:0004871,GO:0005634,GO:0003677,GO:0005737,GO:0048511,GO:0005667,GO:0003700	5,8,9,10,11,13,17,22,24,25	"Widespread Expression"
373926	FGB	FGB.Anderson.2020	ENSGALG00000009262	GO:0007165,GO:0005102,GO:0030168,GO:0005577,GO:0030674,GO:0051258	12	"Anterior Intestinal Portal","Oral Pharynx","Endoderm","extraembryonic mesoderm"
373926	FGB	FGB.UApcr	ENSGALG00000009262	GO:0007165,GO:0005102,GO:0030168,GO:0005577,GO:0030674,GO:0051258	4,5,6,8,9,10,11,16,23,24,26	"Liver","Anterior Intestinal Portal","Extraembryonic Mesoderm","Pancreas","Atria","Endoderm","Stomach","Duodenum","extraembryonic endoderm","Area Opaca","extraembryonic mesoderm","extraembryonic ectoderm","Foregut"
373926	FGB	Y10	ENSGALG00000009262	GO:0007165,GO:0005102,GO:0030168,GO:0005577,GO:0030674,GO:0051258	4,6,14	"Anterior Intestinal Portal","Endoderm, early","Area Opaca","Germinal Crescent"
373927	CDH20	Cad20.Jiankai.2007		GO:0016021,GO:0007156,GO:0005509,GO:0005886	37,40,44	"Ear/Otic Placcode"
373927	CDH20	CDH20.UApcr		GO:0016021,GO:0007156,GO:0005509,GO:0005886	4,5,6,7,10,11,13,17,19,23,24,25	"Facial Muscles","Somites","Intermediate Mesoderm","Notochord","Hindgut","Midbrain","Neural Plate/Tube","Early Mesoderm","Spinal Cord","Mesonephros","Hindbrain","Paraxial Mesoderm","Foregut"
373928	PPARG	PPAR&#947;.Hojo.2006	ENSGALG00000004974		28,35,38,44	"Gizzard","Gut","Esophagus","Foregut"
373931	EGR1	ChEST179p16	ENSGALG00000007669	GO:0045893,GO:0048169,GO:0070498,GO:0071320,GO:0071480,GO:0033233,GO:0035035,GO:0000976,GO:0005634,GO:0003677,GO:0032868,GO:0035914,GO:0005737,GO:0043565,GO:0030509,GO:0043066,GO:0046872,GO:0090090,GO:0045944,GO:0071371,GO:0000122,GO:0000982,GO:0009749,GO:0003700,GO:0030217	1,18	"Wing Mesenchyme","Myotome"
373932	NKX3-2	BAPX1.Nielsen.2001			11,23,36	"Lateral Plate Mesoderm","Somites","Hindgut","Gizzard"
373932	NKX3-2	NKX3.2.Schneider.1999			11,18,24,31	"Wing","Lateral Plate Mesoderm","Mesoderm","Somites","Sclerotome","Tail","Pharyngeal Arches and Clefts","Stomach","Hindgut","Gizzard","Leg","Splanchnic Mesoderm"
373934	HOXA13	HOXA13.Hughes.2011		GO:0006351,GO:0005634,GO:0007275,GO:0043565,GO:0003700	26,29	"Tail","Limb Buds","Feathers/Scutae"
373934	HOXA13	HoxA13.Matsushita.2002		GO:0006351,GO:0005634,GO:0007275,GO:0043565,GO:0003700	10	"Primitive Streak","Endoderm, early","Mesoderm, early"
373934	HOXA13	HOXA13.Mercader.2000		GO:0006351,GO:0005634,GO:0007275,GO:0043565,GO:0003700	22,23	"Wing AER","Limb Buds"
373934	HOXA13	Hoxa-13.Nelson.1996		GO:0006351,GO:0005634,GO:0007275,GO:0043565,GO:0003700	19,23,25,27,28,44	"Wing","Unlabeled","Leg"
373934	HOXA13	HOXA13.Theodosiou.2007		GO:0006351,GO:0005634,GO:0007275,GO:0043565,GO:0003700	26	"Mesoderm","Tail","Endoderm","Hindgut","Leg"
373934	HOXA13	Hoxa13.Tiecke.2006		GO:0006351,GO:0005634,GO:0007275,GO:0043565,GO:0003700	35	"Wing"
373934	HOXA13	HOXA13.UApcr		GO:0006351,GO:0005634,GO:0007275,GO:0043565,GO:0003700	4,11,14,17,18,20,23,25,29	"Wing","Lateral Plate Mesoderm","Unlabeled","Tail","Allantois","Hindgut","Somatic Mesoderm","Leg"
373934	HOXA13	Hoxa13.Yakushiji-Kaminatsui.2018		GO:0006351,GO:0005634,GO:0007275,GO:0043565,GO:0003700	all,20,22	"Wing","Unlabeled","Leg"
373934	HOXA13	HOXA13.Yamamoto-Shiraishi.2020		GO:0006351,GO:0005634,GO:0007275,GO:0043565,GO:0003700	all,26	"Leg"
373935	DACH1	DACH1.Litsiou.2005			6,8	"Ectoderm","Neural Crest"
373935	DACH1	DACH1.UApcr			5,7,10,11,16,18,22,24,25	"Lateral Plate Mesoderm","Mesencephalon","Cranial Ganglia","Forebrain","Somites","Outflow Tract","Head Mesenchyme","Sclerotome","Neural Crest","Unlabeled","Eye","Oral Pharynx","Ear/Otic Placode","Pharyngeal Arches and Clefts","Nephric Ducts","Intermediate Mesoderm","Primitive Streak","Ventricles","Endoderm","Leg Mesenchyme","Telencephalon","Midbrain","Somatic Mesoderm","Neural Plate/Tube","Pharynx","Wing Mesenchyme","Central Nervous System","Spinal Cord","Spinal Ganglia and Nerves","Mesonephros","Hindbrain","Diencephalon","Foregut","Nasal Placode/Nerve"
373938	VAV2	VAV2.UApcr	ENSGALG00000002699		4,5,6,7,9,10,11,15,16,21,22,27	"Lateral Plate Mesoderm","Cranial Ganglia","Hensen's Node","Blood Islands","Forebrain","Somites","Widespread Expression","Eye","Ear/Otic Placode","Tail","Pharyngeal Arches and Clefts","Primitive Streak","Intermediate Mesoderm","Notochord","Leg Mesenchyme","Headfold","Midbrain","Area Pellucida","Neural Plate/Tube","Wing Mesenchyme","Spinal Cord","Spinal Ganglia and Nerves","Mesonephros","Hindbrain","Paraxial Mesoderm"
373939	VAV3	VAV3.UApcr			4,5,6,7,8,9,10,11,12,15,16,19,20,26	"Blood Vessels","Heart","Lateral Plate Mesoderm","Lung","Hensen's Node","Blood Islands","Forebrain","Somites","Head Mesenchyme","Widespread Expression","Eye","Ear/Otic Placode","Tail","Extraembryonic Mesoderm","Aorta","Pharyngeal Arches and Clefts","Primitive Streak","Notochord","Headfold","Midbrain","Neural Plate/Tube","Area Opaca","Hindbrain","Foregut"
373940	LHX3	LHX3.Inoue.2006	ENSGALG00000003928	GO:0006351,GO:0008270,GO:0005634,GO:0043565,GO:0003700	25,26,27,29,31	"Head Mesenchyme","Eye","Nasal Placode/Nerve"
373940	LHX3	LHX3.UApcr	ENSGALG00000003928	GO:0006351,GO:0008270,GO:0005634,GO:0043565,GO:0003700	3,4,10,13,14,15,16,17,18,19,20,21,22	"Unlabeled","Oral Pharynx","Primitive Streak","Face Mesenchyme","Spinal Cord","Hindbrain"
373940	LHX3	LIM3.Davey.2006	ENSGALG00000003928	GO:0006351,GO:0008270,GO:0005634,GO:0043565,GO:0003700	20	"Spinal Cord"
373940	LHX3	LIM3.Fischer.2009	ENSGALG00000003928	GO:0006351,GO:0008270,GO:0005634,GO:0043565,GO:0003700	38	"Retina"
373940	LHX3	LIM3.Hargrave.2000	ENSGALG00000003928	GO:0006351,GO:0008270,GO:0005634,GO:0043565,GO:0003700	25,28	"Spinal Cord"
373940	LHX3	LIM3.Parkinson.2010	ENSGALG00000003928	GO:0006351,GO:0008270,GO:0005634,GO:0043565,GO:0003700	21,27,32,36	"Pituitary (Rudiment)"
